,0
0,3.92
1,3.97
2,3.72
3,3.54
4,3.54
5,3.69
6,3.66
7,3.68
8,3.76
9,3.87
10,4.11
11,4.62
12,4.97
13,5.21
14,5.57
15,5.79
16,5.84
17,5.32
18,4.60
19,4.73
20,4.30
21,4.34
22,3.19
23,2.24
24,1.86
25,2.24
26,1.32
27,1.53
28,1.07
29,0.61
30,0.69
31,1.24
32,1.17
33,1.28
34,1.58
35,2.88
36,3.77
37,4.53
38,5.20
39,4.97
40,4.87
41,4.47
42,3.92
43,3.18
44,2.41
45,2.47
46,1.99
47,1.83
48,1.39
49,1.15
50,1.12
51,1.11
52,1.21
53,1.12
54,0.88
55,0.56
56,0.73
57,0.96
58,2.46
59,3.03
60,4.17
61,5.22
62,5.66
63,5.40
64,5.11
65,4.67
66,4.22
67,3.42
68,3.35
69,3.25
70,3.25
71,1.97
72,1.10
73,0.97
74,0.14
75,0.07
76,0.37
77,0.91
78,1.44
79,2.08
80,2.91
81,3.22
82,3.76
83,5.12
84,6.57
85,7.69
86,8.52
87,7.86
88,7.44
89,7.11
90,6.93
91,6.99
92,6.69
93,6.60
94,6.43
95,6.43
96,5.88
97,5.31
98,4.93
99,4.61
100,4.26
101,3.89
102,3.88
103,3.28
104,3.50
105,3.41
106,4.23
107,5.21
108,6.06
109,6.51
110,6.81
111,6.81
112,6.60
113,6.02
114,5.83
115,5.39
116,4.33
117,4.52
118,4.16
119,2.98
120,2.66
121,2.27
122,2.02
123,1.97
124,1.69
125,1.09
126,0.96
127,0.74
128,0.71
129,0.62
130,1.39
131,2.78
132,3.48
133,4.09
134,4.11
135,3.22
136,2.98
137,2.37
138,2.07
139,2.03
140,2.34
141,1.84
142,1.82
143,1.91
144,2.03
145,2.14
146,2.49
147,2.51
148,2.42
149,2.08
150,2.04
151,1.69
152,1.47
153,1.66
154,1.65
155,2.03
156,2.12
157,2.18
158,2.64
159,2.73
160,2.71
161,2.48
162,2.59
163,2.59
164,2.36
165,2.25
166,2.24
167,2.24
168,2.50
169,2.50
170,2.50
171,2.25
172,1.95
173,1.74
174,1.54
175,1.53
176,1.30
177,1.35
178,1.52
179,1.82
180,1.49
181,1.61
182,1.53
183,1.53
184,1.42
185,1.32
186,0.82
187,1.01
188,0.62
189,0.53
190,0.43
191,0.23
192,0.16
193,-0.04
194,-0.12
195,0.03
196,-0.19
197,-0.27
198,0.02
199,-0.18
200,-0.39
201,-0.72
202,-0.36
203,0.03
204,0.21
205,0.02
206,0.15
207,0.81
208,0.81
209,0.47
210,0.60
211,0.60
212,0.59
213,0.53
214,0.44
215,0.38
216,0.60
217,0.36
218,0.42
219,0.51
220,0.43
221,0.53
222,0.63
223,0.76
224,0.72
225,0.13
226,0.42
227,0.60
228,0.60
229,0.61
230,0.43
231,0.44
232,0.45
233,0.54
234,0.61
235,0.62
236,0.72
237,0.72
238,0.56
239,0.37
240,0.16
241,0.14
242,0.16
243,0.14
244,0.06
245,0.22
246,0.18
247,-0.14
248,-0.39
249,-0.69
250,-0.86
251,-0.89
252,-0.92
253,-0.82
254,-0.81
255,-0.79
256,-0.82
257,-0.90
258,-1.10
259,-1.18
260,-1.38
261,-1.76
262,-2.07
263,-2.38
264,-2.47
265,-2.74
266,-2.67
267,-2.69
268,-2.57
269,-2.57
270,-2.23
271,-1.96
272,-1.97
273,-1.84
274,-1.38
275,0.57
276,2.48
277,4.07
278,5.18
279,6.07
280,6.54
281,6.53
282,6.81
283,6.82
284,7.11
285,6.62
286,6.68
287,6.49
288,6.76
289,6.95
290,7.28
291,7.67
292,8.20
293,8.32
294,8.16
295,8.47
296,7.85
297,7.68
298,7.57
299,7.93
300,8.03
301,8.61
302,9.33
303,9.91
304,9.79
305,9.78
306,10.78
307,11.36
308,11.59
309,11.81
310,12.02
311,11.33
312,10.66
313,10.06
314,9.33
315,9.10
316,8.42
317,8.23
318,8.12
319,7.58
320,7.45
321,7.94
322,8.51
323,9.14
324,9.48
325,9.82
326,10.44
327,11.26
328,11.72
329,11.84
330,11.59
331,12.02
332,12.47
333,12.51
334,12.96
335,13.30
336,14.02
337,14.22
338,14.16
339,13.97
340,13.03
341,11.93
342,11.60
343,11.01
344,10.63
345,10.13
346,9.39
347,9.27
348,9.87
349,10.40
350,10.88
351,10.56
352,10.00
353,9.12
354,8.64
355,8.26
356,7.41
357,6.34
358,6.45
359,6.93
360,6.87
361,6.94
362,6.58
363,6.00
364,5.90
365,5.88
366,5.27
367,5.36
368,5.44
369,4.74
370,5.86
371,6.92
372,7.21
373,6.64
374,7.12
375,8.19
376,8.01
377,7.73
378,7.38
379,7.48
380,7.54
381,8.12
382,7.62
383,7.59
384,7.70
385,7.48
386,7.01
387,6.00
388,5.01
389,5.77
390,4.32
391,4.64
392,4.62
393,4.54
394,5.54
395,6.29
396,7.06
397,8.06
398,7.79
399,7.67
400,7.83
401,8.06
402,8.05
403,7.57
404,7.64
405,7.87
406,8.09
407,8.13
408,8.21
409,8.06
410,7.97
411,7.76
412,7.64
413,8.04
414,8.39
415,8.53
416,9.36
417,9.83
418,9.68
419,10.30
420,10.93
421,11.03
422,10.82
423,10.76
424,10.72
425,10.24
426,9.79
427,9.87
428,9.94
429,9.87
430,9.71
431,9.42
432,9.78
433,8.91
434,8.92
435,8.80
436,8.67
437,9.03
438,9.03
439,9.03
440,9.04
441,9.12
442,8.96
443,9.73
444,10.30
445,10.88
446,10.91
447,11.31
448,11.33
449,10.81
450,10.25
451,10.52
452,10.98
453,10.89
454,11.29
455,11.50
456,11.61
457,11.44
458,11.38
459,11.72
460,11.64
461,11.76
462,11.85
463,11.86
464,11.89
465,11.77
466,11.97
467,12.03
468,11.93
469,12.40
470,12.14
471,12.81
472,12.53
473,12.11
474,12.14
475,12.36
476,12.29
477,11.61
478,10.09
479,8.88
480,8.51
481,8.71
482,7.71
483,7.83
484,7.05
485,6.74
486,6.07
487,5.81
488,5.96
489,5.61
490,6.44
491,7.19
492,8.38
493,9.24
494,10.29
495,10.52
496,10.22
497,9.87
498,9.64
499,9.43
500,9.43
501,9.39
502,9.50
503,9.78
504,10.11
505,10.54
506,10.60
507,10.59
508,10.43
509,10.93
510,10.81
511,10.55
512,10.59
513,10.68
514,11.04
515,11.37
516,11.39
517,11.61
518,11.39
519,11.38
520,11.02
521,10.47
522,10.57
523,11.19
524,11.67
525,12.34
526,12.87
527,13.21
528,13.54
529,13.43
530,13.44
531,13.63
532,13.63
533,13.49
534,12.97
535,13.12
536,12.95
537,12.72
538,12.62
539,12.77
540,13.25
541,13.64
542,14.18
543,14.04
544,14.21
545,13.52
546,12.94
547,12.40
548,11.73
549,12.07
550,12.10
551,12.01
552,11.69
553,11.62
554,11.67
555,11.59
556,11.19
557,10.79
558,10.43
559,10.56
560,10.72
561,10.67
562,10.77
563,10.85
564,11.54
565,12.76
566,13.19
567,12.74
568,11.87
569,11.56
570,10.06
571,8.92
572,8.20
573,7.55
574,7.14
575,6.09
576,6.22
577,4.96
578,4.90
579,4.70
580,5.26
581,5.13
582,5.52
583,5.61
584,5.76
585,5.87
586,7.09
587,8.08
588,8.52
589,9.28
590,9.86
591,10.04
592,10.72
593,11.48
594,11.56
595,11.34
596,11.36
597,11.47
598,11.08
599,10.98
600,10.92
601,9.68
602,9.68
603,8.64
604,8.02
605,7.17
606,6.94
607,7.10
608,7.71
609,8.08
610,8.57
611,9.62
612,10.41
613,11.68
614,12.04
615,12.56
616,11.94
617,11.86
618,11.84
619,11.88
620,12.24
621,12.26
622,12.40
623,12.51
624,12.49
625,12.53
626,11.85
627,11.79
628,12.01
629,11.98
630,11.75
631,11.03
632,10.79
633,10.54
634,10.72
635,11.01
636,11.17
637,11.52
638,11.77
639,11.78
640,11.53
641,11.19
642,11.03
643,10.85
644,10.91
645,10.68
646,10.78
647,11.11
648,11.06
649,11.09
650,10.57
651,10.78
652,9.84
653,9.01
654,7.95
655,6.81
656,5.66
657,4.72
658,6.28
659,8.96
660,9.77
661,10.29
662,10.97
663,10.94
664,10.72
665,9.70
666,8.40
667,5.87
668,5.10
669,6.18
670,5.49
671,3.41
672,4.89
673,3.92
674,3.88
675,3.74
676,3.11
677,3.06
678,0.66
679,2.56
680,1.31
681,2.83
682,2.56
683,3.77
684,5.93
685,7.30
686,8.57
687,8.42
688,8.49
689,7.99
690,7.90
691,7.68
692,7.77
693,7.82
694,7.84
695,8.05
696,7.94
697,8.25
698,8.11
699,7.72
